,A,Ant,B,Br,C,D,D2,E,F,G,Ge,K,L,O,W,Y,Z
M1_03_035,van dat ic hu betoghe,None,van dat ic di betoghe,None,van dat ic betoghe,van dat ic di betoghe:,None,None,van dat ic dy betoeghe/.,van dat ic di betoege:,None,None,van dat ic di betoeghe,van dat ic dy betooghe,None,van dat ic di betoge,None
M1_03_036,ledichede es vrome ne gheen,None,ledicheit es vrome ne gheen,None,ledicheit is vroem en gheen,ledicheyt en is vrome gheen.,None,None,ledicheyt es vrome gheen,ledecheit es vrome negeen:,None,None,ledicheit es vroeme gheen,ledicheit es vrome negheen,None,ledicheit es vrome gheen,None
M1_03_037,aerbeit vint vier inden steen,None,arbeit vint vier inden steen,None,arbeit vijnt vier in den steen,mer arbeyt vint vier inden steen,None,None,arbeyt vint vier inden steen,maer arbeit vint vier in den steen:,None,None,aerbeit vint vier in den steen,aerbeit vint vier in den steen,None,arbeit vint vier inden steen,None
M1_03_038,daer bi ontsteect dat droghe,None,dair bi ontsteict dat droghe,None,waerbi ontsteect dat droghe,daer bi ontsteect dat droghe,None,None,daer bij ontsteect dat droeghe,daer bi ontstect dat troege:,None,None,None,daer by ontsteect dat droghe,None,daer bi ontstect dat droge,None
M1_03_039,nu spreect ende ic ghedoghe,None,nu spreect ende ic ghedoghe,None,nu sprec ende ic ghedoghe.,nv spreect ende ic ghedoghe/,None,None,nu spreect ende ict ghedoeghe,nu sprect ende ic gedoege ⸫,None,None,None,nu spreect ende ic ghedoghe.,None,nv sprect ende ict gedoge,None
M1_04_040,spreken jacop lieue compaen,None,spreken iacop lieue compaen,None,spreken jacob lieue compaen,spreket iacop lieue compaen,None,None,spreken iacob lieue compaen,spreken iacop lieue compaen:,None,None,None,spreken iacob lieue compaen,None,spreken iacob lieue compaen,None
M1_04_041,waer soudic dat hebben verstaen,None,wair soude ic dat hebben verstaen,None,waer zoudict hebben verstaen,waer soude ic dat hebben verstaen,None,None,waer soudic dat hebben verstaen,waer soudic dit hebben verstaen:,None,None,None,waer zoude ic dat hebben uerstaen,None,waer soudic dat hebben verstaen,None
M1_04_042,dat ic daer toe dochte,None,dat ic dair toe dochte,None,dat ic daer toe dochte,dat ic hier toe dochte.,None,None,dat ic daer toe dochte,dat ic daer toe dochte:,None,None,None,dat ic daer toe dochte,None,dat ic daer toe dochte,None
M1_04_043,te verclaerne dinen waen,None,te verclaren dinen waen,None,te uerclaren dinen waen,te verclaren dijnen waen/,None,None,te verclaren dinen waen,te verclaerne dinen waen:,None,None,None,te verclarene dijnen waen,None,te verclaren dinen waen,None
M1_04_044,die in twifele ware beuaen,None,die mit twiuele ware beuaen,None,die in twiuel is beuaen,die in twiuel is beuaen.,None,None,die in twiuele es beuaen,die in twiuele es bevaen:,None,None,None,die met twifele ware beuaen,None,die met twiuel waer beuaen,None
M1_04_045,dats dat ic niet en vermochte,None,dats dat ic niet en vermochte,None,dats dat ic niene vermochte,dats dat icx niet en vermochte,None,None,dats dat ic niet en vermochte,dats dat ic niet en vermochte:,None,None,None,dats dat ic niet en vermochte,None,dats dat ic niet en vermochte,None
M1_04_046,doch en willic niet af staen,None,doch en wille ic niet ontgaen,None,doch en wil ics niet ontgaen,doch en wil icx niet ontgaen,None,None,doch en wilics niet ontgaen,doch en willics niet ontgaen:,None,None,None,doch en wille icx niet ontgaen,None,doch en willicx niet ontgaen,None
M1_04_047,in wille dine bede ontfaen,None,ic en wille dine beide ontfaen,None,in wille dine bede ontfaen,ick en wil sine bede wel ontfaen,None,None,ic wille dine bede ontfaen,jn wille dine bede ontfaen:,None,None,None,ic wille die bede van di ontfaen,None,ic wille dine beede ontfaen,None
M1_04_048,die dit ane mi besochte,None,die dit ane mi besochte,None,die dit aen mi besochte,die dit aen mi sochte,None,None,die dit ane my zochte,die dit ane mi versochte:,None,None,die dit ane mi sochte,die dit ane my sochte,None,die dit aen mi sochte,None
M1_04_049,god sende mi den hemelschen traen,None,god sende my den hemelschen traen,None,god zeinde mi den hemelscen traen,god sendt mij den hemelschen traen,None,None,god seynde mi den hemelscen traen,god sende mi den hemelschen traen:,None,None,None,god zende my den hemelschen traen,None,god sinde mi den hemelschen traen,None
M1_04_050,ende moet mine zinne dwaen,None,ende moete mine zinnen dwaen,None,ende moet mine zinne dwaen,ende moet mine sinnen dwaen,None,None,ende moet mine zinnen dwaen,ende moet minen sin dwaen:,None,None,None,ende moete mine zinnen dwaen,None,ende moet minen sin dwaen,None
M1_04_051,want hi mi diere cochte,None,want hi my diere cochte,None,want hi mi diere cochte,want hi my diere cochte,None,None,want hij mi diere cochte,want hi mi diere cochte:,None,None,want hi mi diere cochte,want hi mi diere cochte,None,want hi mi diere cochte,None
M1_04_052,ende ict gherne vulbrochte,None,ende ict gairne volbrochte,None,ende ict gherne volbrochte.,ende ict soe gaerne volbrochte,None,None,ende ict gheerne volbrochte,ende ict gerne volbrochte,None,None,None,ende ict gheerne volbrochte,None,ende ict gherne volbrochte,None
M1_05_053,martin doe die weerelt began,None,martijn als de werelt began,None,martijn doe die werelt began,martijn doe die werelt beghan,None,None,merten doen die werelt began,merten doe de werelt began:,None,None,None,martin als die werelt began,None,martijn doen de werelt began,None
M1_05_054,man te verheffene bouen man,None,man te verheffen bouen man,None,man teuerheffen bouen man,man te verheffen bouen man,None,None,man te verheffen bouen man,man te verheffene bouen man:,None,None,None,man te verheffene bouen man,None,man te verheffen bouen man,None
M1_05_055,doe sciet mijn vrouwe ver eere,None,so sciet mijn vrauwe ere,None,doe sciet mijn vrouwe ver eere,doen schiet mijn vrouwe eere,None,None,doen schiet mijn vrouwe ver eere,so sciet mijn vrouwe ver eere:,None,None,None,doe verstac mijn vrauwe eere,None,doen sciet mijn vrouwe ver eere,None
M1_05_056,den dorper ende wijsdem den dan,None,den dorpere ende wijsdem den dan,None,den dorper ende wijsde hem den dan,den dorper wijsde si den dan,None,None,vanden dorper ende wijsde hem den dan,den dorpere wises si den dan:,None,None,None,den dorpere. ende den wijsen dan,None,den dorper ende wijstem den dan,None
M1_05_057,ende daer trouwe ende doghet was an,None,dair trouwe ende doecht was an,None,daer trouwe ende doeghede was an,daer trouwe ende doecht lach an,None,None,ende daer trouwe ende doghet was an,daer trouwe ende doget lach an:,None,None,None,daer trauwe ende duecht was an,None,daer trouwe ende eere was an,None
M1_05_058,dien hiet soe sijn heere,None,dien hiet so sijn here,None,dien hiet zi zijn here,dien hiet sy wesen heere,None,None,dien hiet zij sijn heere,dien hiet si sijn here:,None,None,dien hiet si sijn here,dien liet zij zijn heere,None,dien hiet se wesen heere,None
M1_05_059,nu maken die heeren een ghespan,None,nu maken die heren ghespan,None,nu maken die heren een ghespan,nv maken die heeren een ghespan,None,None,nu maken die heeren een gespan,nu maken de heren een gespan:,None,None,None,nu maken die heeren een ghespan,None,nv maken die heeren een gespan,None
M1_05_060,ende gheuen der eeren eenen ban,None,ende gheuen der eren enen ban,None,ende gheuen der eren enen ban,ende gheuen der eeren enen ban/,None,None,ende gheuen der eeren eenen ban,ende geuen der eeren enen ban:,None,None,None,ende gheuen der eeren eenen ban,None,ende gheuen der eeren enen ban,None
M1_05_061,ende willen niet dat soe keere,None,ende en willen niet dat so kere,None,ende willen niet dat zi kere,ende en willen niet dat sy keere,None,None,ende en willen niet dat zij keere,ende en willen niet dat si keere:,None,None,None,ende en willen niet dat soe keere,None,ende en willen niet dat si keere,None
M1_05_062,sech mi wanen tfenijn ran,None,segt mi waen dit venijn ran,None,zech mi wanne dit venijn ran,segt mij waent fenijn ran,None,None,zeght mi wanen dit fenijn ran,segt mi wanen tfenijn quam:,None,None,None,secht my wanen dit venijn ran,None,sech mi wanen dit venijn ran,None
M1_05_063,toech mi redene daer van,None,toicht mi redene dair van,None,toegh mi redene daer van,toecht mi reden daer van,None,None,toecht mi redene daer van,toent mi redene daer van:,None,None,None,ende toecht my redene daer van,None,toech mi redene daervan,None
M1_05_064,want ic gherne leere,None,want ic gairne lere,None,want ic gherne lere.,want ict gaerne leere,None,None,want ict gheerne leere,want ic gerne leere:,None,None,want ic gherne leere,want ic gheerne leere,None,want ict gherne leere,None
M1_05_065,wies scult dat het were,None,wies scout dattet were,None,wies scout dat dit were,wiens schult dattet weere:,None,None,wies scult dat het weere.,wies scout dat het weere:-,None,None,wies scout dat weere,wiens scult dat dit weere,None,wies scout het weere,None
M1_06_066,martin mi dinct ouer waer,None,iacop my dinct ouer wair,None,martijn mi dunct ouerwaer,iacop my dunct ouerwaer.,None,None,iacop mi dunct ouerwair,iacob mi dunct ouerwaer:,None,None,None,iacob mi dijnct ouerwaer,None,iacob mi dunct ouerwaer,None
M1_06_067,sint edelheit hadde vaer,None,sint dat edelheit hadde vaer,None,zijnt dat edelheit hadde vaer,sunt dat edelheyt hadde vaer/,None,None,sint dat edelheit hadde vaer,sent dat edelheit hadde vaer:,None,None,None,sint dat edelheit hadde vaer,None,sint dat edelheit hadde vaer,None
M1_06_068,te pijnne omme die eere,None,te pijne om die ere,None,te pinen om die eere,te pinen om die eere.,None,None,te pinen om die eere,te pinenne om die eere:,None,None,te pinen omme die eere,te pinene omme die eere,None,te pinen om die eere,None
M1_06_069,ende soe trac den scalcken naer,None,ende so trac de scalke naer,None,ende zi trecte den scalken naer,ende sy trac den scalcken naer,None,None,ende zij trac den scalken naer,ende si trac die scalke naer:,None,None,None,ende zij trac die scalke naer,None,ende so trac den scalke nare,None
M1_06_070,die raden nv hier nv daer,None,die raden nv hier nv dair,None,die raden nu hier nu daer,die raden nv hier nv daer/,None,None,die raden nu hier nv daer,die raden nu hier nu daer:,None,None,None,die raden nu hier nu daer,None,... rade nv hier...,None
M1_06_071,ende niet scelden den heere,None,ende niet scelden den here,None,ende niet scelden den here,ende niet in schelden den heere,None,None,ende niet en scelden den heere.,ende niet en scelt den here:,None,None,None,ende niet en scelden den heere,None,ende niet en scelden den heere,None
M1_06_072,so es edelheit worden zwaer,None,so es edelheit worden so zwair,None,zo is edelheit worden zo swaer,soe is edelheyt worden soe swaer,None,None,so es del herte worden zo zwair,so es edelheit worden so swaer:,None,None,None,so es edelheit worden zo zwaer,None,soe es edelheit worden swaer,None
M1_06_073,dat soe te clemmene heeft ommaer,None,dat so tclemmen heeft ommaer,None,dat zi teclimmene heeft ommaer,dat sy te climmen heeft onmaer,None,None,dat sij te clymmen heeft ommaer,dat si te clemmene heeft ommaer:,None,None,None,dat zoe te clemmene heeft onmaer,None,dat si ... clemmen heeft ommaer,None
M1_06_074,ende sinct in lanc so meere,None,ende daelt so lanc so mere,None,ende daelt je lanc zo mere,ende daelt soe lanck soe meere,None,None,ende daelt int lanc zo meer,ende daelt so lanc so meere:,None,None,None,ende danct zo lanc zo meere,None,ende daelt int lanc ... meere,None
M1_06_075,dits nv alder weerelt claer,None,dats nv al ter werelt claer,None,dats nu alder werelt claer,nv ist alder werelt claer,None,None,dits nu alder werelt claer,dats mi alder werelt claer:,None,None,None,dits nu alder werelt claer,None,dats nv alder werelt claer,None
M1_06_076,ende oghe sien ende openbaer,None,ende oic zietment openbair,None,ende oeghscijn al openbaer,ende oeck soe sietment openbaer,None,None,ende oic zietment wel openbaer,ende oechsiens al oppenbaer:,None,None,None,ende den ghesinden openbaer,None,ende ...siene openbaer,None
M1_06_077,dus es verbannen eere,None,dus es verbannen die ere,None,dus is verbanden eere,dus is verbannen eere,None,None,dus es verbannen eere,dus es verbannen eere:,None,None,dus es verbannen eere,dus es verbannen eere,None,dat dus es verbannen eere,None
M1_06_078,ende weder staen ten keere,None,ende wederstaen ten kere,None,ende wederstaen ten kere.,ende wederstaen ten keere,None,None,ende wederstaen ten keere,ende wederstaen ten keere:,None,None,ende weder staen ten kere,ende wederstaen ten keere,None,ende weder staen ten keere,None
M1_07_079,nv merct bider sonnen lech,None,nv merc bider sonnen lecht,None,nu merct bi der zonnen lecht,nv mercket byder sonnen lecht,None,None,nu merct bider zonnen licht,nv merct bi der sonnen lecht:,None,None,None,merket bi der sonnen lecht,None,nv merct bider sonnen lecht,None
M1_07_080,die alder weerelt oghen berecht,None,dat al der werelt oghen berecht,None,dat alder werelt oghen berecht,dat alder werelt oghe berecht.,None,None,dat alder werelt oge bericht,die alder werelt oegen berecht:,None,None,None,dat alder weerelt oghen berecht,None,dat alder werelt ogen berecht,None
M1_07_081,bi sire naturen,None,bi sire edelre naturen,None,bi ziere edelre naturen,by haer edelre natuere,None,None,bij hare edelre natuere,bi siere edelre naturen:,None,None,bi hare edele natuere,by zijnre edelre natuere,None,bi hare edelre naturen,None
M1_07_082,alse dat zwerc daer ieghen vecht,None,als dat zwerc dair ieghen vecht,None,als dat swerc daer jeghen uecht,als dat volc daer tseghen vecht,None,None,als dat zwerc dair iegen vecht,alse dat swerc daer iegen vecht:,None,None,None,als dat zwerc daer ieghen vecht,None,als dat swerc daer yegen vecht,None
M1_07_083,entie neuel met zire drecht,None,ende die neuel mit sire drecht,None,ende die neuel met zire drecht,ende die neuel met sijnre drecht,None,None,entie neuel met sire drecht,ende die neuel met siere dreft:,None,None,None,ende die neuel met zier drecht,None,entie neuel met sijnre drecht,None
M1_07_084,sone can so tier vren,None,so en can so tier vren,None,zo en can zi tier vren,soe en can sy te dier vren,None,None,sone can sij te diere vren,so en can si te diere vren:,None,None,sone can so tier vren,so en can zi te dier vren,None,sone can si te diere vren,None
M1_07_085,niet ghetoghen haer scone lecht,None,niet toghen hairre scoonheit echt,None,niet ghetonen haer sconeit echt,niet ghetoghen haer scoenheit echt,None,None,niet ghetonen haer scone lecht,niet getoegen haer scoenheit echt:,None,None,None,niet ghetoghen haer scone lecht,None,niet getoghen haer scoenheit echt,None
M1_07_086,aldus verdonckert die scalcke knecht,None,aldus verdonckert die scalcke knecht,None,aldus verdonkert die scalke knecht,dus verdonckert die scalke knecht/,None,None,dus verdonckert die scalke knecht,dus verdonkert die scalke cnecht:,None,None,None,dus verdonkert die scalke knecht,None,aldus verdonckert die scalke knecht,None
M1_07_087,edele creaturen,None,die edele creaturen,None,die edele creaturen,die edele creatuere,None,None,die edele creatueren.,die edele creaturen:,None,None,None,die edele creaturen,None,die edele creaturen,None
M1_07_088,alse hi hem daer ane echt,None,als hi hem dair ane hecht,None,alse hi hem daer ane hecht,als hy hem daer aen hecht/,None,None,als hij hem daer ane hecht,alse hi hem daer ane hecht:,None,None,None,als hi hem daer ane hecht,None,alsi hem daer ane hecht.,None
M1_07_089,ende hare die edelheit verplecht,None,ende hare ydelheyt verplecht,None,ende haer edelheit verplecht,ende haer edelheyt verplecht,None,None,ende haer edelheyt verplecht,ende hare edelheit verplecht:,None,None,None,ende haer edelheit verplecht,None,ende haer edelheit verplecht,None
M1_07_090,dat soe laet ghedueren,None,dat so laet ghedueren,None,dat zi laet gheduren,dat sy laet ghedueren.,None,None,dat zij laet ghedueren,dat si laet gedueren:,None,None,None,dat zij laet ghedueren,None,dat si laet ghedueren,None
M1_07_091,bi hare den scalcken sueren,None,by hare die scalcke zuren,None,bi haer die scalke zuren.,by haer den scalcken sueren,None,None,bij haer. den scalken sueren,bi hare den scalken sueren:,None,None,None,by haer den scalken sueren,None,by haer den scalken sueren,None
M1_08_092,sint scalcke droeghen ouer een,None,sint scalken droughen ouer een,None,zint dat scalke droeghen ouereen,sunt die scalken droegen ouer een,None,None,sint dat scalke droegen ouer een,sint dat scalke droegen ouereen:,None,None,None,siden scalke droughen ouer een,None,sint dat scalke droeghen ouereen,None
M1_08_093,dat neen wart ja ende ia neen,None,dat neen was ja ende ja neen,None,dat neen was ja ende ja was neen,ende neen was ia ende ia was neen,None,None,dat neen wert ia ende ia neen,dat neen was ia ende ia was neen:,None,None,None,dat neen was ja ende ia neen,None,dat neen was ia neen,None
M1_08_094,ende hem dat wijsheit dochte,None,ende hem dat wijsheit dochte,None,ende hem dat wijsheit dochte,ende hem dat wijsheyt dochte,None,None,ende hem dat wijsheyt dochte.,ende hen dat wijsheit dochte:,None,None,None,ende hem dat wijsheit dochte,None,ende hem dat wijsheit dochte,None
M1_08_095,ende edelheit daer omme green,None,ende ydelheyt daer omme green,None,ende edelheit daer omme green,ende edelheyt daer omme green,None,None,ende edelheyt daer om green,ende edelheit daeromme green:,None,None,None,ende edelheit daer omme green,None,ende edelheit daer omme green,None
M1_08_096,want daer waesdom vte sceen,None,wanter wasdom uut sceen,None,want daer wasdoem vtesceen,want daer wasdoeme wt scheen,None,None,want daer wasdom vut scheen,om datter wasdoem wt sceen:,None,None,None,want daer wasdom hute scheen,None,want daer wasdom vut scheen,None
M1_08_097,wanen dat comen mochte,None,wanen soot comen mochte,None,wane zoet comen mochte,van waen soe tcomen mochte:,None,None,wanen soet comen mochte,wanen dat comen mochte:,None,None,None,wanen dat commen mochte,None,wanen dat comen mochte,None
M1_08_098,so es edel herte worden steen,None,so is ydelheit worden steen,None,zo is edele herte worden steen,soe is edel herte werden steen/,None,None,so es edel herte worden steen,so es edelheit worden steen:,None,None,None,zo worden edel herten so steen,None,soe es edelhert worden steen,None
M1_08_099,want haer ontfaremt dinc gheen,None,want hare ontfermt dinc ne gheen,None,want haer ontfaermet dinghe engheen,van haer en ontfermt dinck ne geen,None,None,dat haer ontfermde dinc ne gheen,want hare en ontfermt dinc negeen:,None,None,None,dat haer ontfaermt dijnc ne gheen,None,want haer ontfermt dinc gheen,None
M1_08_100,van daermen ghelt vte cnochte,None,dan dairmen ghelt wt knochte,None,dan daer men tghelt vut cnochte,dan daerment ghelt wt knochte,None,None,dan daermen ghelt vut knochte,daer men gelt wt cnochte:,None,None,None,dan daer men ghelt vut cnochte,None,dan daer men gelt vut knochte,None
M1_08_101,god gheue hem den langhen wen,None,ay god gheue hem den langen ween,None,ay god ghef hem den langhen ween,god gheue hem den langhen ween/,None,None,god geue hem den langen ween,god geue hem den langen ween:,None,None,None,god gheue hem den langhen ween,None,god gheue hem den langen ween,None
M1_08_102,die te cnauwene gaf dit been,None,die te cnauwen gaf dit been,None,die te cnauwene gaf dit been,die te knauwen gaf dit been,None,None,die te knaghen gaff dit been,die te cnauwene gaf dit been:,None,None,None,die te cnaghene gaf dit been,None,die te knagen gaf dit been,None
